game_id,date,home_team,away_team,home_score,away_score,home_win
0022500002,2025-10-21,LAL,GSW,109,119,0
0022500001,2025-10-21,OKC,HOU,125,124,1
0022500003,2025-10-22,NYK,CLE,119,111,1
0022500086,2025-10-22,MIL,WAS,133,120,1
0022500087,2025-10-22,UTA,LAC,129,108,1
0022500085,2025-10-22,MEM,NOP,128,122,1
0022500084,2025-10-22,CHI,DET,115,111,1
0022500089,2025-10-22,POR,MIN,114,118,0
0022500080,2025-10-22,CHA,BKN,136,117,1
0022500088,2025-10-22,PHX,SAC,120,116,1
0022500082,2025-10-22,ATL,TOR,118,138,0
0022500083,2025-10-22,BOS,PHI,116,117,0
0022500004,2025-10-22,DAL,SAS,92,125,0
0022500081,2025-10-22,ORL,MIA,125,121,1
0022500005,2025-10-23,IND,OKC,135,141,0
0022500006,2025-10-23,GSW,DEN,137,131,1
0022500018,2025-10-24,NYK,BOS,105,95,1
0022500097,2025-10-24,POR,GSW,139,119,1
0022500091,2025-10-24,BKN,CLE,124,131,0
0022500094,2025-10-24,MEM,MIA,114,146,0
0022500093,2025-10-24,HOU,DET,111,115,0
0022500090,2025-10-24,ORL,ATL,107,111,0
0022500098,2025-10-24,SAC,UTA,105,104,1
0022500096,2025-10-24,DAL,WAS,107,117,0
0022500092,2025-10-24,TOR,MIL,116,122,0
0022500019,2025-10-24,LAL,MIN,128,110,1
0022500099,2025-10-24,LAC,PHX,129,102,1
0022500095,2025-10-24,NOP,SAS,116,120,0
0022500102,2025-10-25,PHI,CHA,125,121,1
0022500101,2025-10-25,ATL,OKC,100,117,0
0022500103,2025-10-25,MEM,IND,128,103,1
0022500100,2025-10-25,ORL,CHI,98,110,0
0022500104,2025-10-25,DEN,PHX,133,111,1
0022500109,2025-10-26,WAS,CHA,113,139,0
0022500105,2025-10-26,SAS,BKN,118,107,1
0022500112,2025-10-26,LAC,POR,114,107,1
0022500107,2025-10-26,CLE,MIL,118,113,1
0022500108,2025-10-26,MIA,NYK,115,107,1
0022500111,2025-10-26,DAL,TOR,139,129,1
0022500113,2025-10-26,SAC,LAL,120,127,0
0022500106,2025-10-26,DET,BOS,119,113,1
0022500110,2025-10-26,MIN,IND,114,110,1
0022500122,2025-10-27,LAL,POR,108,122,0
0022500115,2025-10-27,CHI,ATL,128,123,1
0022500117,2025-10-27,NOP,BOS,90,122,0
0022500008,2025-10-27,MIN,DEN,114,127,0
0022500121,2025-10-27,GSW,MEM,131,118,1
0022500119,2025-10-27,DAL,OKC,94,101,0
0022500116,2025-10-27,HOU,BKN,137,109,1
0022500120,2025-10-27,UTA,PHX,138,134,1
0022500007,2025-10-27,DET,CLE,95,116,0
0022500114,2025-10-27,PHI,ORL,136,124,1
0022500118,2025-10-27,SAS,TOR,121,103,1
0022500126,2025-10-28,OKC,SAC,107,101,1
0022500123,2025-10-28,WAS,PHI,134,139,0
0022500127,2025-10-28,GSW,LAC,98,79,1
0022500125,2025-10-28,MIL,NYK,121,111,1
0022500124,2025-10-28,MIA,CHA,144,117,1
0022500136,2025-10-29,MIN,LAL,115,116,0
0022500132,2025-10-29,CHI,SAC,126,113,1
0022500129,2025-10-29,DET,ORL,135,116,1
0022500135,2025-10-29,UTA,POR,134,136,0
0022500134,2025-10-29,DEN,NOP,122,88,1
0022500128,2025-10-29,BOS,CLE,125,105,1
0022500130,2025-10-29,BKN,ATL,112,117,0
0022500137,2025-10-29,PHX,MEM,113,114,0
0022500131,2025-10-29,TOR,HOU,121,139,0
0022500133,2025-10-29,DAL,IND,107,105,1
0022500140,2025-10-30,OKC,WAS,127,108,1
0022500141,2025-10-30,SAS,MIA,107,101,1
0022500138,2025-10-30,CHA,ORL,107,123,0
0022500139,2025-10-30,MIL,GSW,120,110,1
0022500021,2025-10-31,PHI,BOS,108,109,0
0022500022,2025-10-31,CLE,TOR,101,112,0
0022500024,2025-10-31,MEM,LAL,112,117,0
0022500026,2025-10-31,POR,DEN,109,107,1
0022500023,2025-10-31,CHI,NYK,135,125,1
0022500027,2025-10-31,LAC,NOP,126,124,1
0022500025,2025-10-31,PHX,UTA,118,96,1
0022500020,2025-10-31,IND,ATL,108,128,0
0022500143,2025-11-01,CHA,MIN,105,122,0
0022500145,2025-11-01,WAS,ORL,94,125,0
0022500142,2025-11-01,MIL,SAC,133,135,0
0022500146,2025-11-01,BOS,HOU,101,128,0
0022500144,2025-11-01,IND,GSW,114,109,1
0022500151,2025-11-02,CLE,ATL,117,109,1
0022500154,2025-11-02,PHX,SAS,130,118,1
0022500153,2025-11-02,NYK,CHI,128,116,1
0022500150,2025-11-02,CHA,UTA,126,103,1
0022500149,2025-11-02,BKN,PHI,105,129,0
0022500155,2025-11-02,LAL,MIA,130,120,1
0022500148,2025-11-02,OKC,NOP,137,106,1
0022500152,2025-11-02,TOR,MEM,117,104,1
0022500159,2025-11-03,NYK,WAS,119,102,1
0022500164,2025-11-03,LAC,MIA,119,120,0
0022500160,2025-11-03,HOU,DAL,110,102,1
0022500156,2025-11-03,BKN,MIN,109,125,0
0022500162,2025-11-03,DEN,SAC,130,124,1
0022500157,2025-11-03,IND,MIL,115,117,0
0022500163,2025-11-03,POR,LAL,115,123,0
0022500158,2025-11-03,BOS,UTA,103,105,0
0022500161,2025-11-03,MEM,DET,106,114,0
0022500168,2025-11-04,NOP,CHA,116,112,1
0022500166,2025-11-04,ATL,ORL,127,112,1
0022500167,2025-11-04,CHI,PHI,113,111,1
0022500169,2025-11-04,GSW,PHX,118,107,1
0022500165,2025-11-04,TOR,MIL,128,100,1
0022500170,2025-11-04,LAC,OKC,107,126,0
0022500179,2025-11-05,LAL,SAS,118,116,1
0022500172,2025-11-05,DET,UTA,114,103,1
0022500173,2025-11-05,IND,BKN,103,112,0
0022500181,2025-11-05,SAC,GSW,121,116,1
0022500178,2025-11-05,DEN,MIA,122,112,1
0022500177,2025-11-05,DAL,NOP,99,101,0
0022500174,2025-11-05,BOS,WAS,136,107,1
0022500176,2025-11-05,MEM,HOU,109,124,0
0022500180,2025-11-05,POR,OKC,121,119,1
0022500171,2025-11-05,CLE,PHI,132,121,1
0022500175,2025-11-05,NYK,MIN,137,114,1
0022500182,2025-11-06,PHX,LAC,115,102,1
0022500036,2025-11-07,MIN,UTA,137,97,1
0022500038,2025-11-07,SAC,OKC,101,132,0
0022500037,2025-11-07,DEN,GSW,129,104,1
0022500032,2025-11-07,SAS,HOU,121,110,1
0022500033,2025-11-07,MIA,CHA,126,108,1
0022500034,2025-11-07,MEM,DAL,118,104,1
0022500031,2025-11-07,BKN,DET,107,125,0
0022500029,2025-11-07,WAS,CLE,115,148,0
0022500028,2025-11-07,ORL,BOS,123,110,1
0022500030,2025-11-07,ATL,TOR,97,109,0
0022500035,2025-11-07,MIL,CHI,126,110,1
0022500189,2025-11-08,DEN,IND,117,100,1
0022500183,2025-11-08,WAS,DAL,105,111,0
0022500187,2025-11-08,MIA,POR,136,131,1
0022500185,2025-11-08,ATL,LAL,122,102,1
0022500190,2025-11-08,LAC,PHX,103,114,0
0022500188,2025-11-08,SAS,NOP,126,119,1
0022500186,2025-11-08,CLE,CHI,128,122,1
0022500184,2025-11-08,PHI,TOR,130,120,1
0022500197,2025-11-09,SAC,MIN,117,144,0
0022500196,2025-11-09,GSW,IND,114,83,1
0022500193,2025-11-09,ORL,BOS,107,111,0
0022500191,2025-11-09,MIL,HOU,115,122,0
0022500192,2025-11-09,NYK,BKN,134,98,1
0022500195,2025-11-09,PHI,DET,108,111,0
0022500194,2025-11-09,MEM,OKC,100,114,0
0022500200,2025-11-10,ORL,POR,115,112,1
0022500198,2025-11-10,CHA,LAL,111,121,0
0022500203,2025-11-10,DAL,MIL,114,116,0
0022500199,2025-11-10,DET,WAS,137,135,1
0022500204,2025-11-10,PHX,NOP,121,98,1
0022500205,2025-11-10,UTA,MIN,113,120,0
0022500201,2025-11-10,MIA,CLE,140,138,1
0022500206,2025-11-10,LAC,ATL,102,105,0
0022500202,2025-11-10,CHI,SAS,117,121,0
0022500210,2025-11-11,OKC,GSW,126,102,1
0022500207,2025-11-11,BKN,TOR,109,119,0
0022500212,2025-11-11,SAC,DEN,108,122,0
0022500208,2025-11-11,NYK,MEM,133,120,1
0022500211,2025-11-11,UTA,IND,152,128,1
0022500209,2025-11-11,PHI,BOS,102,100,1
0022500220,2025-11-12,SAS,GSW,120,125,0
0022500215,2025-11-12,NYK,ORL,107,124,0
0022500218,2025-11-12,HOU,WAS,135,112,1
0022500223,2025-11-12,SAC,ATL,100,133,0
0022500222,2025-11-12,OKC,LAL,121,92,1
0022500213,2025-11-12,CHA,MIL,111,100,1
0022500214,2025-11-12,DET,CHI,124,113,1
0022500224,2025-11-12,LAC,DEN,116,130,0
0022500216,2025-11-12,BOS,MEM,131,95,1
0022500219,2025-11-12,NOP,POR,117,125,0
0022500221,2025-11-12,DAL,PHX,114,123,0
0022500217,2025-11-12,MIA,CLE,116,130,0
0022500225,2025-11-13,CLE,TOR,113,126,0
0022500226,2025-11-13,PHX,IND,133,98,1
0022500227,2025-11-13,UTA,ATL,122,132,0
0022500044,2025-11-14,MIN,SAC,124,110,1
0022500041,2025-11-14,DET,PHI,114,105,1
0022500042,2025-11-14,HOU,POR,140,116,1
0022500046,2025-11-14,DAL,LAC,127,133,0
0022500043,2025-11-14,MIL,CHA,147,134,1
0022500047,2025-11-14,SAS,GSW,108,109,0
0022500045,2025-11-14,NOP,LAL,104,118,0
0022500039,2025-11-14,NYK,MIA,140,132,1
0022500040,2025-11-14,ORL,BKN,105,98,1
0022500231,2025-11-15,MIL,LAL,95,119,0
0022500228,2025-11-15,CLE,MEM,108,100,1
0022500232,2025-11-15,MIN,DEN,112,123,0
0022500230,2025-11-15,IND,TOR,111,129,0
0022500229,2025-11-15,CHA,OKC,96,109,0
0022500233,2025-11-16,BOS,LAC,121,118,1
0022500238,2025-11-16,DAL,POR,138,133,1
0022500240,2025-11-16,UTA,CHI,150,147,1
0022500234,2025-11-16,SAS,SAC,123,110,1
0022500236,2025-11-16,HOU,ORL,117,113,1
0022500237,2025-11-16,NOP,GSW,106,124,0
0022500235,2025-11-16,WAS,BKN,106,129,0
0022500239,2025-11-16,PHX,ATL,122,124,0
0022500247,2025-11-17,NOP,OKC,109,126,0
0022500245,2025-11-17,TOR,CHA,110,108,1
0022500248,2025-11-17,DEN,CHI,127,130,0
0022500246,2025-11-17,MIN,DAL,120,96,1
0022500244,2025-11-17,MIA,NYK,115,113,1
0022500243,2025-11-17,PHI,LAC,110,108,1
0022500242,2025-11-17,DET,IND,127,112,1
0022500241,2025-11-17,CLE,MIL,118,106,1
0022500250,2025-11-18,BKN,BOS,99,113,0
0022500249,2025-11-18,ORL,GSW,121,113,1
0022500253,2025-11-18,LAL,UTA,140,126,1
0022500252,2025-11-18,SAS,MEM,111,101,1
0022500254,2025-11-18,POR,PHX,110,127,0
0022500251,2025-11-18,ATL,DET,112,120,0
0022500256,2025-11-19,IND,CHA,127,118,1
0022500257,2025-11-19,MIA,GSW,110,96,1
0022500261,2025-11-19,OKC,SAC,113,99,1
0022500259,2025-11-19,MIN,WAS,120,109,1
0022500255,2025-11-19,CLE,HOU,104,114,0
0022500258,2025-11-19,PHI,TOR,112,121,0
0022500262,2025-11-19,DAL,NYK,111,113,0
0022500263,2025-11-19,POR,CHI,121,122,0
0022500260,2025-11-19,NOP,DEN,118,125,0
0022500267,2025-11-20,SAS,ATL,135,126,1
0022500264,2025-11-20,ORL,LAC,129,101,1
0022500266,2025-11-20,MIL,PHI,114,123,0
0022500265,2025-11-20,MEM,SAC,137,96,1
0022500056,2025-11-21,GSW,POR,123,127,0
0022500050,2025-11-21,TOR,WAS,140,110,1
0022500052,2025-11-21,DAL,NOP,118,115,1
0022500049,2025-11-21,BOS,BKN,105,113,0
0022500053,2025-11-21,PHX,MIN,114,113,1
0022500051,2025-11-21,CHI,MIA,107,143,0
0022500048,2025-11-21,CLE,IND,120,109,1
0022500055,2025-11-21,UTA,OKC,112,144,0
0022500054,2025-11-21,HOU,DEN,109,112,0
0022500270,2025-11-22,NOP,ATL,98,115,0
0022500274,2025-11-22,DEN,SAC,123,128,0
0022500271,2025-11-22,CHI,WAS,121,120,1
0022500272,2025-11-22,MIL,DET,116,129,0
0022500273,2025-11-22,DAL,MEM,96,102,0
0022500268,2025-11-22,CHA,LAC,116,131,0
0022500269,2025-11-22,ORL,NYK,133,121,1
0022500280,2025-11-23,OKC,POR,122,95,1
0022500275,2025-11-23,PHI,MIA,117,127,0
0022500277,2025-11-23,BOS,ORL,138,129,1
