date,home_team,away_team,predicted_winner,actual_winner,correct,confidence,predicted_margin,model_home_margin,actual_margin,margin_error,home_score,away_score,tracked_at
2026-01-13,MIA,PHX,MIA,MIA,True,62.8,3.8,3.8,6,2.2,127,121,2026-09-01 00:39:48
2026-01-13,HOU,CHI,HOU,HOU,True,89.4,19.4,19.4,6,13.399999999999999,119,113,2026-09-01 00:39:48
2025-12-21,MIL,MIN,MIN,MIN,True,67.1,8.2,-8.2,3,5.199999999999999,103,100,2026-09-01 00:39:48
2025-10-29,NOP,DEN,DEN,DEN,True,85.3,18.3,-18.3,34,15.7,122,88,2026-09-01 00:39:48
2025-12-23,OKC,SAS,OKC,SAS,False,61.2,3.2,3.2,20,16.8,130,110,2026-09-01 00:39:48
2025-11-08,LAL,ATL,LAL,ATL,False,75.6,9.7,9.7,20,10.3,122,102,2026-09-01 00:39:48
2025-10-24,GSW,POR,GSW,POR,False,59.2,2.3,2.3,20,17.7,139,119,2026-09-01 00:39:48
