feature,importance
net_rating_diff,0.33154591861316407
power_rating_diff,0.06170344013766337
off_rating_diff,0.05209267269706829
oreb_pct_diff,0.05121908205964874
def_rating_diff,0.0496243785989553
ast_ratio_diff,0.0430525233552621
pace_diff,0.03859766942585029
pie_diff,0.037121965818972105
ts_pct_diff,0.03637348313923285
efg_pct_diff,0.0361752668130568
spg_diff,0.03576512867079494
apg_diff,0.03524634012482403
fg_pct_diff,0.03485792822580604
ppg_diff,0.03444685193052437
best_player_diff,0.033576407773109634
star_power_diff,0.031187897484878834
bpg_diff,0.030556233021077947
rpg_diff,0.02685681211011026
home_court,0.0
