PLAYER_NAME,TEAM_ABBREVIATION,MIN,BLK,BLK_STD
Austin Reaves,LAL,37.8,0.0,0.0
Lauri Markkanen,UTA,38.3,0.0,0.0
Jalen Brunson,NYK,34.7,0.0,0.0
Bennedict Mathurin,IND,36.4,0.0,0.0
Jamal Murray,DEN,36.3,0.0,0.0
Zion Williamson,NOP,35.2,0.0,0.0
Ja Morant,MEM,27.2,0.0,0.0
Jimmy Butler III,GSW,32.7,0.0,0.0
Bam Adebayo,MIA,32.8,0.0,0.0
Trae Young,ATL,33.0,0.0,0.0
