feature,importance
net_rating_diff,0.3373826068929186
off_rating_diff,0.1503952896621037
def_rating_diff,0.05805528866488864
ast_ratio_diff,0.05634338018246171
oreb_pct_diff,0.0444118012861978
pace_diff,0.03846480732283771
star_power_diff,0.03586291041479677
apg_diff,0.03217243072865764
fg_pct_diff,0.030980987903913928
best_player_diff,0.03054175886327936
bpg_diff,0.029608519867883893
ppg_diff,0.02812943475790737
efg_pct_diff,0.027427324298871278
pie_diff,0.02658195718293844
rpg_diff,0.026441004301515116
spg_diff,0.025262273631831787
ts_pct_diff,0.021938224036996405
home_court,0.0
