PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,USG_PCT,PACE,PIE,PTS_STD,REB_STD,AST_STD,STL_STD,BLK_STD,FG_PCT_STD,FG3_PCT_STD,MIN_STD,GAMES_LOGGED
201939,Stephen Curry,1610612744,GSW,37.0,5,4,1,0.8,30.3,8.8,17.4,0.506,4.4,10.4,0.423,5.0,5.0,1.0,0.2,3.6,3.8,5.0,2.2,1.8,0.8,0.2,1.6,3.8,27.0,7.2,123.6,113.0,10.5,0.255,18.9,0.007,0.124,0.066,8.3,0.632,0.689,0.292,104.67,0.173,11.067971810589327,2.280350850198276,2.345207879911715,1.3038404810405297,0.8366600265340756,0.057863632792972845,0.11043006836908144,4.393176527297759,5
201142,Kevin Durant,1610612745,HOU,37.0,3,1,2,0.333,36.2,8.0,16.0,0.5,1.0,3.7,0.273,9.3,10.3,0.903,0.3,5.7,6.0,2.3,2.3,1.3,0.3,0.3,4.3,7.3,26.3,3.0,117.2,114.1,3.1,0.125,9.5,0.009,0.14,0.077,9.5,0.531,0.641,0.252,94.54,0.164,9.451631252505216,3.0,1.1547005383792515,1.5275252316519468,0.5773502691896258,0.0670397891802572,0.5773502691896258,11.015141094572202,3
1630163,LaMelo Ball,1610612766,CHA,24.0,4,2,2,0.5,32.6,8.5,19.0,0.447,4.3,10.8,0.395,5.0,6.3,0.8,1.8,6.5,8.3,9.5,4.0,1.8,0.3,0.5,3.8,4.5,26.3,8.8,124.9,113.4,11.6,0.409,27.0,0.051,0.176,0.115,11.3,0.559,0.603,0.307,107.75,0.162,8.5,4.645786621588784,2.3804761428476167,1.5,0.5,0.07871890920653479,0.07308670649760232,3.2015621187164243,4
1627783,Pascal Siakam,1610612754,IND,31.0,3,0,3,0.0,35.5,9.3,20.3,0.459,2.7,6.3,0.421,4.7,8.7,0.538,1.7,8.7,10.3,6.0,1.7,1.3,0.3,0.3,2.7,6.3,26.0,-4.3,111.3,118.0,-6.7,0.286,18.9,0.04,0.257,0.138,5.3,0.525,0.538,0.294,103.32,0.172,11.269427669584644,4.509249752822894,2.0,1.5275252316519465,0.5773502691896258,0.03197394772831991,0.12355295760657993,9.073771725877467,3
1627759,Jaylen Brown,1610612738,BOS,29.0,4,1,3,0.25,32.9,8.8,17.5,0.5,2.8,5.8,0.478,5.8,7.8,0.742,0.5,5.3,5.8,3.8,4.0,0.3,0.3,0.3,4.3,7.3,26.0,-2.8,115.5,120.1,-4.6,0.195,13.2,0.015,0.141,0.081,14.0,0.579,0.622,0.321,96.55,0.139,10.893423092245461,1.2583057392117916,0.5,0.5,0.5,0.03272104317815477,0.09623755330777414,5.686240703077327,4
1630578,Alperen Sengun,1610612745,HOU,23.0,3,1,2,0.333,39.0,8.0,17.7,0.453,2.3,4.0,0.583,7.3,8.7,0.846,2.7,5.3,8.0,6.7,3.3,2.0,0.3,2.0,3.3,7.0,25.7,12.3,125.0,109.8,15.2,0.26,21.1,0.075,0.132,0.106,10.5,0.519,0.597,0.267,96.6,0.156,11.71893055416463,2.6457513110645907,0.5773502691896258,1.0,0.5773502691896258,0.18071340108949674,0.5051814855409226,9.539392014169456,3
1630162,Anthony Edwards,1610612750,MIN,24.0,3,2,1,0.667,25.7,9.0,17.3,0.519,3.0,6.3,0.474,4.7,5.7,0.824,0.3,3.7,4.0,2.0,2.0,0.0,0.7,0.0,1.3,3.0,25.7,0.0,125.9,127.5,-1.6,0.128,8.6,0.013,0.162,0.084,8.6,0.606,0.647,0.342,100.28,0.158,18.58314648635514,3.0,2.6457513110645907,0.0,0.5773502691896258,0.0897050723203543,0.09641749495466749,19.73153144926499,3
203932,Aaron Gordon,1610612743,DEN,30.0,3,2,1,0.667,32.2,8.3,14.0,0.595,3.7,6.3,0.579,5.0,5.0,1.0,0.3,4.0,4.3,2.0,1.3,1.0,0.3,0.3,1.3,4.3,25.3,8.0,117.1,105.9,11.2,0.097,10.3,0.01,0.118,0.065,6.9,0.726,0.782,0.222,101.55,0.177,21.73323108360405,3.214550253664318,1.0,1.7320508075688772,0.5773502691896258,0.2614542662366276,0.4838618948970184,7.023769168568493,3
203076,Anthony Davis,1610612742,DAL,32.0,4,1,3,0.25,35.7,9.3,17.8,0.521,0.8,2.8,0.273,5.8,7.8,0.742,4.0,7.8,11.8,2.8,2.3,1.8,1.5,0.8,3.3,7.3,25.0,-6.0,104.0,109.7,-5.7,0.147,10.6,0.102,0.207,0.153,8.7,0.542,0.591,0.275,102.9,0.167,2.160246899469287,1.5,1.2583057392117916,1.2583057392117916,0.5773502691896257,0.20076416512913856,0.28867513459481287,2.8722813232690143,4
203944,Julius Randle,1610612750,MIN,30.0,4,2,2,0.5,35.1,8.8,15.5,0.565,2.3,5.3,0.429,5.3,6.8,0.778,1.3,5.5,6.8,5.3,2.0,1.3,0.5,0.5,2.3,5.0,25.0,-3.8,121.5,127.1,-5.6,0.236,20.6,0.038,0.157,0.1,7.8,0.637,0.677,0.246,100.13,0.159,4.96655480858378,2.0615528128088303,1.5,0.9574271077563381,0.5773502691896257,0.035668613654023594,0.17795130420052185,3.8622100754188224,4
1630560,Cam Thomas,1610612751,BKN,24.0,4,0,4,0.0,29.0,7.0,16.8,0.418,2.3,6.8,0.333,8.3,9.5,0.868,0.0,1.5,1.5,3.3,2.5,0.3,0.3,0.3,1.5,7.8,24.5,-13.8,107.0,131.7,-24.7,0.2,12.3,0.0,0.058,0.026,9.4,0.485,0.585,0.336,100.02,0.124,15.0,0.5773502691896257,3.947573094109004,0.5,0.5,0.12249727888134224,0.2193877845277626,4.9916597106239795,4
1626181,Norman Powell,1610612748,MIA,32.0,3,2,1,0.667,30.9,7.0,14.7,0.477,3.0,6.0,0.5,7.0,7.7,0.913,1.0,6.3,7.3,3.0,2.0,2.0,0.3,0.7,3.0,3.7,24.0,4.0,109.9,103.7,6.1,0.153,13.2,0.029,0.179,0.106,8.8,0.58,0.665,0.246,110.51,0.176,7.810249675906654,1.5275252316519465,1.0,1.0,0.5773502691896258,0.017387735140993295,0.0,5.5677643628300215,3
1630166,Deni Avdija,1610612757,POR,24.0,4,2,2,0.5,31.9,8.0,16.8,0.478,3.0,6.8,0.444,4.5,5.3,0.857,1.0,4.8,5.8,4.0,3.3,0.5,1.0,1.3,2.5,3.8,23.5,1.5,116.8,112.6,4.2,0.193,15.2,0.029,0.161,0.089,12.4,0.567,0.616,0.276,106.19,0.13,2.6457513110645907,1.5,2.160246899469287,0.5773502691896257,1.4142135623730951,0.09979103166116683,0.30501079215879123,1.8929694486000912,4
204001,Kristaps Porziņģis,1610612737,ATL,30.0,2,0,2,0.0,25.5,8.0,14.5,0.552,3.5,6.5,0.538,4.0,4.0,1.0,1.0,3.5,4.5,2.0,1.5,0.0,1.0,1.0,2.5,3.0,23.5,-9.5,113.4,127.3,-13.8,0.118,10.0,0.034,0.159,0.088,7.5,0.672,0.723,0.271,112.76,0.144,4.949747468305833,3.5355339059327378,0.0,0.0,1.4142135623730951,0.16263455967290597,0.05020458146424484,0.0,2
1631096,Chet Holmgren,1610612760,OKC,23.0,4,4,0,1.0,34.2,7.3,12.8,0.569,2.5,6.0,0.417,6.0,7.0,0.857,2.3,8.0,10.3,1.8,3.0,1.3,1.3,0.5,4.0,5.3,23.0,7.8,118.2,105.6,12.6,0.076,8.4,0.067,0.221,0.147,14.5,0.667,0.726,0.237,98.94,0.174,7.702813338860896,2.217355782608345,0.5,1.5,1.8929694486000912,0.15506423400212785,0.30652623596249207,5.597618541248888,4
1631094,Paolo Banchero,1610612753,ORL,22.0,4,1,3,0.25,36.3,7.0,17.8,0.394,0.8,4.0,0.188,8.0,9.8,0.821,0.5,8.0,8.5,2.0,2.5,0.5,1.5,1.3,2.3,6.3,22.8,-7.3,103.8,112.7,-8.9,0.1,7.5,0.013,0.213,0.111,9.4,0.415,0.516,0.272,103.74,0.128,8.69386757049665,2.3804761428476167,2.0,0.5773502691896257,1.2909944487358056,0.12436773429363958,0.14424140644535235,1.2583057392117916,4
203924,Jerami Grant,1610612757,POR,31.0,4,2,2,0.5,28.1,6.8,11.8,0.574,2.8,5.8,0.478,6.3,7.5,0.833,0.8,1.8,2.5,1.5,1.5,1.3,0.8,0.3,2.8,4.3,22.5,0.3,115.4,113.2,2.2,0.09,8.5,0.025,0.069,0.045,8.5,0.691,0.748,0.226,105.74,0.147,4.932882862316247,0.5773502691896257,1.2909944487358056,1.2583057392117916,0.5,0.1308485129198392,0.0765549911283821,0.5,4
